-11	4	-8	0	6	5	0	0	-4	-2	1	-7	2	3	-10	8	3	6	-7	-1	-3	10	-1	3	3	0	-1	2	9	3	4	-4	-5	0	12	-5	1	11	-12	-6	11	-8	6	-3	-4	-4	-3	-4
-1	0	-1	-7	0	3	1	0	-4	-5	7	-4	1	8	-11	4	-1	7	7	-3	-7	8	-6	4	1	7	-4	-2	4	-1	2	2	-4	-6	8	-3	-2	11	-6	-12	10	-5	-1	5	0	-6	1	-4
6	-6	6	13	-7	2	-3	-1	10	9	-11	5	-3	-16	19	-8	0	-15	-9	6	13	-12	10	-9	-2	-12	1	6	-4	0	-1	2	3	10	-15	9	4	-19	11	10	-22	10	3	-6	5	10	1	4
-7	3	-6	-1	1	4	3	1	-4	1	1	-5	4	1	-9	5	3	3	-4	-3	0	8	-1	2	3	3	-4	1	6	-1	2	0	-4	2	5	-4	0	8	-8	-5	10	-12	6	-1	-5	-2	0	-2
12	0	10	-16	-1	-13	0	4	-3	-9	14	4	-4	16	-5	-5	-5	9	24	-5	-11	-5	-10	4	-2	13	3	-13	-11	-5	-7	5	9	-16	0	-3	-8	5	6	-1	3	6	-18	16	2	-6	7	0
-13	1	-11	22	3	12	-3	-7	5	11	-18	-2	4	-21	12	2	8	-10	-29	8	15	3	12	-5	-1	-18	2	14	13	10	3	-7	-9	21	-1	3	10	-11	-3	5	-6	-1	16	-22	-1	7	-9	4
-6	4	-2	0	3	0	0	2	-1	1	1	-3	2	0	-5	2	4	2	-4	0	1	4	-1	1	2	-1	0	-2	2	0	0	-1	1	0	3	-3	0	3	-4	0	5	-5	2	-1	-8	1	1	0
2	2	-1	-12	2	-4	4	0	-8	-7	9	1	2	13	-11	2	-3	10	12	-6	-12	5	-8	7	3	11	-1	-7	-1	-1	-1	1	-1	-8	6	-4	-2	11	-4	-6	10	-2	-6	7	1	-12	2	-1
-7	1	-7	7	6	4	-1	-5	-1	0	-6	0	3	-4	2	4	0	0	-10	4	0	4	3	1	-1	-4	2	5	5	5	5	-7	-6	6	5	0	6	-1	-3	1	1	0	7	-9	1	2	-12	2
-2	0	-1	-7	1	2	0	4	0	-4	3	-3	-3	7	-8	5	-1	3	2	-1	-6	4	-4	1	3	1	0	0	-1	-3	5	0	0	-7	5	2	-2	8	-4	-4	4	-2	0	4	0	-1	2	-10
