-22	280	206	258	282	85	239	164	290	181	227	269	338	262	280	183	264	201	214	177	21	788	582	1785	5276	16384	49519	49461	49439	49426	49462	49474	49396	49495	49479	147071	441511	111	-4269	-27	798	441471	-78	237	1254	2394	157167	58038	25260	14709	9936	3960	312	420	-1116	2112	3576	6528	6660	3708	-8928	-29484
21	-327	-237	-314	-326	-126	-274	-212	-341	-234	-301	-319	-437	-347	-347	-201	-336	-244	-232	-234	-34	-986	-716	-2180	-6442	-19926	-60317	-60234	-60200	-60175	-60242	-60238	-60148	-60278	-60250	-179106	-537708	-114	3654	42	-966	-537654	120	-324	-1680	-3525	-193779	-73059	-33192	-20310	-14460	-5376	-192	-540	1296	-2484	-4452	-7824	-8028	-6012	10404	32076
788	-14188	-11219	-13205	-14271	-5218	-12567	-9419	-14911	-9524	-12018	-13425	-17706	-14021	-15064	-9071	-13746	-10532	-10789	-9232	-986	-41038	-29300	-90267	-267130	-828555	-2507084	-2503936	-2502626	-2500896	-2502883	-2504420	-2500483	-2506318	-2502989	-7437513	-22329326	-5328	217548	1461	-41517	-22327437	4494	-12240	-60963	-111153	-7907124	-2893491	-1235892	-701802	-460944	-187848	-13956	-19596	56328	-106416	-177756	-331860	-338004	-205092	464904	1536840
582	-10298	-8184	-9620	-10357	-3447	-9203	-6521	-10848	-6620	-8366	-9729	-12615	-9974	-10575	-6634	-9678	-7393	-7875	-6595	-716	-29300	-21272	-65273	-192966	-598845	-1811123	-1808991	-1808183	-1807101	-1808389	-1809431	-1806526	-1810552	-1808718	-5375332	-16137829	-4077	158919	981	-29886	-16136427	3009	-8904	-43062	-77811	-5703366	-2080287	-882276	-496410	-322008	-132528	-9036	-12936	42492	-76380	-129024	-239616	-244764	-142308	334080	1112724
1785	-31633	-25165	-29506	-31892	-10799	-28260	-20273	-33318	-20562	-25924	-29991	-38912	-30829	-32766	-20503	-29917	-22942	-24208	-20291	-2180	-90267	-65273	-200784	-593691	-1842504	-5572546	-5565881	-5563288	-5559871	-5563928	-5567168	-5558313	-5570792	-5564740	-16537250	-49648310	-12390	492948	3048	-92334	-49644018	9402	-27240	-133410	-240855	-17554713	-6408009	-2721987	-1534860	-998796	-410976	-30000	-41328	129012	-236544	-398508	-739884	-755352	-438876	1025532	3428676
5276	-93617	-74574	-87454	-94449	-31998	-83839	-60215	-98754	-60905	-76796	-88870	-115167	-91417	-97250	-60750	-88572	-67901	-71591	-60043	-6442	-267130	-192966	-593691	-1756154	-5449592	-16482442	-16462705	-16455000	-16444816	-16456800	-16466508	-16440302	-16477317	-16459139	-48912608	-146846058	-36588	1457292	9048	-273798	-146833431	27867	-80586	-394365	-710238	-51914646	-18945510	-8043324	-4531803	-2946804	-1214400	-88200	-122976	382272	-700596	-1182624	-2193540	-2239308	-1308780	3030624	10139364
16384	-290723	-231710	-271329	-293287	-98942	-260295	-186507	-306570	-188605	-237864	-275802	-357117	-283250	-301464	-188764	-274588	-210661	-222537	-186055	-19926	-828555	-598845	-1842504	-5449592	-16912442	-51150493	-51089474	-51065734	-51034157	-51071103	-51101401	-51019980	-51134664	-51078581	-151793596	-455716279	-113886	4542168	27921	-849063	-455677077	86043	-249759	-1222347	-2199498	-161090958	-58776108	-24941949	-14045169	-9126264	-3763884	-276264	-380772	1187016	-2174856	-3667356	-6805716	-6947676	-4034484	9411084	31512348
49519	-879129	-700355	-820453	-886794	-300236	-786726	-564821	-926936	-571240	-720397	-833890	-1080629	-857157	-912544	-570309	-831306	-637658	-672694	-563100	-60317	-2507084	-1811123	-5572546	-16482442	-51150493	-154704728	-154519695	-154447518	-154351578	-154463824	-154555523	-154309388	-154656833	-154485802	-459093558	-1378296311	-343749	13718775	84711	-2567577	-1378177839	260994	-755535	-3699519	-6661299	-487249110	-177800616	-75471501	-42513993	-27637224	-11391552	-835044	-1153536	3585804	-6576168	-11086332	-20578500	-21005604	-12227400	28474920	95278140
49461	-878162	-699701	-819573	-885822	-299698	-785970	-564066	-925951	-570393	-719341	-832920	-1079245	-856057	-911353	-569708	-830189	-636794	-671991	-562353	-60234	-2503936	-1808991	-5565881	-16462705	-51089474	-154519695	-154335046	-154263025	-154167187	-154279179	-154370847	-154124963	-154471920	-154301249	-458545361	-1376650382	-343494	13706259	84555	-2564535	-1376532060	260499	-754638	-3693993	-6649860	-486652608	-177573858	-75366831	-42448767	-27589716	-11373984	-833496	-1151352	3582852	-6568164	-11073360	-20554452	-20981340	-12208356	28441836	95175756
49439	-877808	-699488	-819258	-885477	-299394	-785751	-563698	-925605	-569982	-718846	-832563	-1078670	-855609	-910826	-569504	-829660	-636390	-671760	-562043	-60200	-2502626	-1808183	-5563288	-16455000	-51065734	-154447518	-154263025	-154191128	-154095369	-154207211	-154298884	-154053048	-154399787	-154229395	-458332075	-1376009948	-343476	13702791	84468	-2563317	-1375891671	260250	-754308	-3691383	-6644148	-486414960	-177480126	-75320619	-42417933	-27565704	-11365500	-832524	-1150008	3582384	-6564864	-11068512	-20545176	-20972232	-12199284	28428804	95139360
49426	-877210	-698915	-818735	-884874	-299088	-785200	-563186	-924968	-569560	-718315	-832078	-1077930	-855010	-910097	-569183	-829041	-635893	-671311	-561696	-60175	-2500896	-1807101	-5559871	-16444816	-51034157	-154351578	-154167187	-154095369	-153999874	-154111618	-154203070	-153957393	-154303802	-154133900	-458048814	-1375159348	-343305	13691994	84405	-2561715	-1375041102	260070	-753861	-3689487	-6641526	-486120402	-177376680	-75280347	-42398004	-27554796	-11360304	-831828	-1149264	3580392	-6560808	-11062716	-20532516	-20959740	-12191832	28406664	95068296
